15/2 15+16 loop
0	1 0/7
1	1 1/7
2	1 2/7
3	1 3/7
4	1 4/7
5	1 5/7
6	1 6/7
7	2 0/8
8	2 1/8
9	2 2/8
10	2 3/8
11	2 4/8
12	2 5/8
13	2 6/8
14	2 7/8
15	A
16	3 0/7
17	3 1/7
18	3 2/7
19	3 3/7
20	3 4/7
21	3 5/7
22	3 6/7
23	4 0/7
24	4 1/7
25	4 2/7
26	4 3/7
27	4 4/7
28	4 5/7
29	4 6/7
30	5 0/7
31	A
32	5 1/7
33	5 2/7
34	5 3/7
35	5 4/7
36	5 5/7
37	5 6/7
38	6 0/7
39	6 1/7
40	6 2/7
41	6 3/7
42	6 4/7
43	6 5/7
44	6 6/7
45	7 0/7
46	7 1/7
47	A
48	7 2/7
49	7 3/7
50	7 4/7
51	7 5/7
52	7 6/7
53	8 0/7
54	8 1/7
55	8 2/7
56	8 3/7
57	8 4/7
58	8 5/7
59	8 6/7
60	9 0/7
61	9 1/7
62	9 2/7
63	A
64	9 3/7
65	9 4/7
66	9 5/7
67	9 6/7
68	10 0/7
69	10 1/7
70	10 2/7
71	10 3/7
72	10 4/7
73	10 5/7
74	10 6/7
75	11 0/7
76	11 1/7
77	11 2/7
78	11 3/7
79	A
80	11 4/7
81	11 5/7
82	11 6/7
83	12 0/7
84	12 1/7
85	12 2/7
86	12 3/7
87	12 4/7
88	12 5/7
89	12 6/7
90	13 0/7
91	13 1/7
92	13 2/7
93	13 3/7
94	13 4/7
95	A
96	13 5/7
97	13 6/7
98	14 0/7
99	14 1/7
100	14 2/7
101	14 3/7
102	14 4/7
103	14 5/7
104	14 6/7
105	15 0/7
106	15 1/7
107	15 2/7
108	15 3/7
109	15 4/7
110	15 5/7
111	A
112	15 6/7
113	16 0/7
114	16 1/7
115	16 2/7
116	16 3/7
117	16 4/7
118	16 5/7
119	16 6/7
120	17 0/7
121	17 1/7
122	17 2/7
123	17 3/7
124	17 4/7
125	17 5/7
126	17 6/7
127	A
128	18 0/7
129	18 1/7
130	18 2/7
131	18 3/7
132	18 4/7
133	18 5/7
134	18 6/7
135	19 0/7
136	19 1/7
137	19 2/7
138	19 3/7
139	19 4/7
140	19 5/7
141	19 6/7
142	20 0/7
143	A
144	20 1/7
145	20 2/7
146	20 3/7
147	20 4/7
148	20 5/7
149	20 6/7
150	21 0/7
151	21 1/7
152	21 2/7
153	21 3/7
154	21 4/7
155	21 5/7
156	21 6/7
157	22 0/7
158	22 1/7
159	A
160	22 2/7
161	22 3/7
162	22 4/7
163	22 5/7
164	22 6/7
165	23 0/7
166	23 1/7
167	23 2/7
168	23 3/7
169	23 4/7
170	23 5/7
171	23 6/7
172	24 0/7
173	24 1/7
174	24 2/7
175	A
176	24 3/7
177	24 4/7
178	24 5/7
179	24 6/7
180	25 0/7
181	25 1/7
182	25 2/7
183	25 3/7
184	25 4/7
185	25 5/7
186	25 6/7
187	26 0/7
188	26 1/7
189	26 2/7
190	26 3/7
191	A
192	26 4/7
193	26 5/7
194	26 6/7
195	27 0/7
196	27 1/7
197	27 2/7
198	27 3/7
199	27 4/7
200	27 5/7
201	27 6/7
202	28 0/7
203	28 1/7
204	28 2/7
205	28 3/7
206	28 4/7
207	A
208	28 5/7
209	28 6/7
210	29 0/7
211	29 1/7
212	29 2/7
213	29 3/7
214	29 4/7
215	29 5/7
216	29 6/7
217	30 0/7
218	30 1/7
219	30 2/7
220	30 3/7
221	30 4/7
222	30 5/7
223	A
224	30 6/7
225	31 0/7
226	31 1/7
227	31 2/7
228	31 3/7
229	31 4/7
230	31 5/7
231	31 6/7
232	32 0/7
233	32 1/7
234	32 2/7
235	32 3/7
236	32 4/7
237	32 5/7
238	32 6/7
239	A
