0	0	29114	
1	15	20503	
2	26	25699	
3	39	20297	
4	49	19932	
5	59	17413	
6	68	22434	
7	79	22943	
8	91	19728	
9	101	23416	
10	113	20618	
11	124	22330	
12	135	9069	
13	140	25349	
14	153	19810	
15	163	19530	
16	173	15093	
17	181	17310	
18	190	19745	
19	200	524	Reserved
20	201	3900	
21	203	4026	
22	205	6186	
23	209	6053	
24	212	11872	
25	218	10849	
26	224	501	
27	225	3881	
28	227	3276	
29	229	4784	
30	232	2548	
31	234	3517	
32	236	4811	
33	239	6904	
34	243	4774	
35	246	5205	
36	249	5210	
37	252	3105	
38	254	3485	
39	256	5263	
40	259	8398	
41	264	7938	
42	268	3377	
43	270	1430	
44	271	5806	
45	274	5524	
46	277	2218	
47	279	4585	
48	282	8579	
49	287	10349	
50	293	8003	
51	297	8188	
52	301	10186	
53	306	7932	
54	310	3132	
55	312	10763	
56	318	5256	
57	321	3047	
58	323	2317	
59	325	3867	
60	327	3188	
61	329	6070	
62	332	4871	
63	335	3870	
64	337	7381	
65	341	8866	
66	346	5603	
67	349	5583	
68	352	4250	
69	355	3735	
70	357	3642	
71	359	6609	
72	363	2831	
73	365	6508	
74	369	9032	
75	374	8110	
76	378	4933	
77	381	9684	
78	386	10553	
79	392	7895	
80	396	2494	
81	398	3252	
82	400	3073	
83	402	4301	
84	405	8810	
85	410	4076	
86	412	5960	
87	415	7441	
88	419	2396	
89	421	7766	
90	425	7287	
91	429	5894	
92	432	6664	
93	436	3476	
94	438	2129	
95	440	6778	
96	444	7802	
97	448	4483	
98	451	6292	
99	455	10850	
100	461	8104	
101	465	4818	
102	468	10370	
103	474	981	
104	475	1342	
105	476	2926	
106	478	3673	
107	480	1915	
108	481	2053	
109	483	2815	
110	485	744	
111	486	1905	
112	487	812	
113	488	8177	
114	492	9207	
115	497	8415	
116	502	7021	
117	506	9524	
118	511	7629	
119	515	5225	
120	518	4324	
121	521	6619	
122	525	7405	
123	529	6031	
124	532	8888	
125	537	10872	
126	543	3276	
127	545	12616	
128	552	7394	
129	556	6488	
130	560	11374	
131	566	3286	
132	568	10177	
133	573	9660	
134	578	7933	
135	582	10662	
136	588	9014	
137	593	9715	
138	598	8186	
139	602	7104	
140	606	3479	
141	608	7055	
142	612	10916	
143	618	9163	
144	623	7585	
145	627	5543	
146	630	4486	
147	633	7436	
148	637	6905	
149	641	7397	
150	645	7249	
151	649	8049	
152	653	7974	
153	657	6452	
154	661	7827	
155	665	5749	
156	668	8496	
157	673	12509	
158	680	10225	
159	685	12878	
160	692	11663	
161	698	14172	
162	705	14114	
163	712	5287	
164	715	5967	
165	718	4449	
166	721	7027	
167	725	9383	
168	730	10911	
169	736	6261	
170	740	9406	
171	745	5101	
172	748	8311	
173	753	4577	
174	756	12084	
175	762	14766	
176	770	3538	
177	772	3214	
178	774	5216	
179	777	2538	
180	779	2594	
181	781	2437	
182	783	5321	
183	786	3073	
184	788	1678	
185	789	2325	
186	791	3352	
187	793	3918	
188	795	6215	
189	799	5675	
190	802	2025	
191	803	2978	
192	805	4482	
193	808	1970	
194	809	7141	
195	813	6294	
196	817	6305	
197	821	7322	
198	825	7515	
199	829	6596	
200	833	12222	
201	839	9749	
202	844	11908	
203	850	4744	
204	853	3405	
205	855	3360	
206	857	2233	
207	859	9076	
208	864	10336	
209	870	9008	
210	875	11193	
211	881	11277	
212	887	9525	
213	892	9381	
214	897	11836	
215	903	17718	
216	912	15563	
217	920	12682	
218	927	12290	
219	934	10936	
220	940	16492	
221	949	14889	
222	957	13636	
223	964	14345	
224	972	16223	
225	980	13498	
226	987	15777	
227	995	12948	
228	1002	14441	
229	1010	14817	
230	1018	3227	
231	1020	10868	
232	1026	2025	
233	1027	4672	
234	1030	4572	
235	1033	7198	
236	1037	12756	
237	1044	6682	
238	1048	4633	
239	1051	6418	
240	1055	8479	
241	1060	7804	
242	1064	4872	
243	1067	4737	
244	1070	3659	
245	1072	4561	
246	1075	9167	
247	1080	6049	
248	1083	13530	
249	1090	15080	
250	1098	11127	
251	1104	15559	
252	1112	13652	
253	1119	4634	
254	1122	5722	
255	1125	7653	
256	1129	7761	
257	1133	6192	
258	1137	13816	
259	1144	11149	
260	1150	12090	
261	1156	15316	
262	1164	13288	
263	1171	15970	
264	1179	9821	
265	1184	12810	
266	1191	16468	
267	1200	10542	
268	1206	14495	
269	1214	5529	
270	1217	11560	
271	1223	3949	
272	1225	11244	
273	1231	6996	
274	1235	3319	
275	1237	4984	
276	1240	12501	
277	1247	3523	
278	1249	10372	
279	1255	14420	
280	1263	14110	
281	1270	14158	
282	1277	3084	
283	1279	11082	
284	1285	12534	
285	1292	10849	
286	1298	8774	
287	1303	10822	
288	1309	10346	
289	1315	9306	
290	1320	9230	
291	1325	11842	
292	1331	10724	
293	1337	9550	
294	1342	10223	
295	1347	9562	
296	1352	12721	
297	1359	8575	
298	1364	14215	
299	1371	6936	
300	1375	7807	
301	1379	8998	
302	1384	11607	
303	1390	11722	
304	1396	8223	
305	1401	10854	
306	1407	6268	
307	1411	11803	
308	1417	11216	
309	1423	12449	
310	1430	13088	
311	1437	3613	
312	1439	8170	
313	1443	6351	
314	1447	3360	
315	1449	14266	
316	1456	10127	
317	1461	4001	
318	1463	5881	
319	1466	8146	
320	1470	11898	
321	1476	9758	
322	1481	7401	
323	1485	4132	
324	1488	4490	
325	1491	6321	
326	1495	3788	
327	1497	2462	
328	1499	4690	
329	1502	10469	
330	1508	4753	
331	1511	2350	
332	1513	1956	
333	1514	6851	
334	1518	3900	
335	1520	4815	
