1001/100 7+8
371	38 1/9
372	38 2/9
373	38 3/9
374	38 4/9
375	A
376	38 5/9
377	38 6/9
378	38 7/9
379	38 8/9
380	39 0/9
381	39 1/9
382	39 2/9
383	A
384	39 3/9
385	39 4/9
386	39 5/9
387	39 6/9
388	39 7/9
389	39 8/9
390	40 0/8
391	A
392	40 1/8
393	40 2/8
394	40 3/8
395	40 4/8
396	40 5/8
397	40 6/8
398	40 7/8
399	A
400	41 0/9
401	41 1/9
402	41 2/9
403	41 3/9
404	41 4/9
405	41 5/9
406	41 6/9
407	A
408	41 7/9
409	41 8/9
410	42 0/9
411	42 1/9
412	42 2/9
413	42 3/9
414	42 4/9
415	A
416	42 5/9
417	42 6/9
418	42 7/9
419	42 8/9
420	43 0/9
421	43 1/9
422	43 2/9
423	A
424	43 3/9
425	43 4/9
426	43 5/9
427	43 6/9
428	43 7/9
429	43 8/9
430	44 0/8
431	A
432	44 1/8
433	44 2/8
434	44 3/8
435	44 4/8
436	44 5/8
437	44 6/8
438	44 7/8
439	A
440	45 0/9
441	45 1/9
442	45 2/9
443	45 3/9
444	45 4/9
445	45 5/9
446	45 6/9
447	A
448	45 7/9
449	45 8/9
450	46 0/9
451	46 1/9
452	46 2/9
453	46 3/9
454	46 4/9
455	A
456	46 5/9
457	46 6/9
458	46 7/9
459	46 8/9
460	47 0/9
461	47 1/9
462	47 2/9
463	A
464	47 3/9
465	47 4/9
466	47 5/9
467	47 6/9
468	47 7/9
469	47 8/9
470	48 0/8
471	A
472	48 1/8
473	48 2/8
474	48 3/8
475	48 4/8
476	48 5/8
477	48 6/8
478	48 7/8
479	A
480	49 0/9
481	49 1/9
482	49 2/9
483	49 3/9
484	49 4/9
485	49 5/9
486	49 6/9
487	A
488	49 7/9
489	49 8/9
490	50 0/9
491	50 1/9
492	50 2/9
493	50 3/9
494	50 4/9
495	A
496	50 5/9
497	50 6/9
498	50 7/9
499	50 8/9
500	51 0/9
501	51 1/9
502	51 2/9
503	A
504	51 3/9
505	51 4/9
506	51 5/9
507	51 6/9
508	51 7/9
509	51 8/9
510	52 0/8
511	A
512	52 1/8
513	52 2/8
514	52 3/8
515	52 4/8
516	52 5/8
517	52 6/8
518	52 7/8
519	A
520	53 0/9
521	53 1/9
522	53 2/9
523	53 3/9
524	53 4/9
525	53 5/9
526	53 6/9
527	A
528	53 7/9
529	53 8/9
530	54 0/9
531	54 1/9
532	54 2/9
533	54 3/9
534	54 4/9
535	A
536	54 5/9
537	54 6/9
538	54 7/9
539	54 8/9
540	55 0/9
541	55 1/9
542	55 2/9
543	A
544	55 3/9
545	55 4/9
546	55 5/9
547	55 6/9
548	55 7/9
549	55 8/9
550	56 0/8
551	A
