1001/100	7+8
200	21	0/9
201	21	1/9
202	21	2/9
203	21	3/9
204	21	4/9
205	21	5/9
206	21	6/9
207	X
208	21	7/9
209	21	8/9
210	22	0/9
211	22	1/9
212	22	2/9
213	22	3/9
214	22	4/9
215	X
216	22	5/9
217	22	6/9
218	22	7/9
219	22	8/9
220	23	0/9
221	23	1/9
222	23	2/9
223	X
224	23	3/9
225	23	4/9
226	23	5/9
227	23	6/9
228	23	7/9
229	23	8/9
230	24	0/8
231	X
232	24	1/8
233	24	2/8
234	24	3/8
235	24	4/8
236	24	5/8
237	24	6/8
238	24	7/8
239	X
240	25	0/9
241	25	1/9
242	25	2/9
243	25	3/9
244	25	4/9
245	25	5/9
246	25	6/9
247	X
248	25	7/9
249	25	8/9
250	26	0/9
251	26	1/9
252	26	2/9
253	26	3/9
254	26	4/9
255	X
256	26	5/9
257	26	6/9
258	26	7/9
259	26	8/9
260	27	0/9
261	27	1/9
262	27	2/9
263	X
264	27	3/9
265	27	4/9
266	27	5/9
267	27	6/9
268	27	7/9
269	27	8/9
270	28	0/8
271	X
272	28	1/8
273	28	2/8
274	28	3/8
275	28	4/8
276	28	5/8
277	28	6/8
278	28	7/8
279	X
280	29	0/9
281	29	1/9
282	29	2/9
283	29	3/9
284	29	4/9
285	29	5/9
286	29	6/9
287	X
288	29	7/9
289	29	8/9
290	30	0/9
291	30	1/9
292	30	2/9
293	30	3/9
294	30	4/9
295	X
296	30	5/9
297	30	6/9
298	30	7/9
299	30	8/9
300	31	0/9
301	31	1/9
302	31	2/9
303	X
304	31	3/9
305	31	4/9
306	31	5/9
307	31	6/9
308	31	7/9
309	31	8/9
310	32	0/8
311	X
312	32	1/8
313	32	2/8
314	32	3/8
315	32	4/8
316	32	5/8
317	32	6/8
318	32	7/8
319	X
320	33	0/9
321	33	1/9
322	33	2/9
323	33	3/9
324	33	4/9
325	33	5/9
326	33	6/9
327	X
328	33	7/9
329	33	8/9
330	34	0/9
331	34	1/9
332	34	2/9
333	34	3/9
334	34	4/9
335	X
336	34	5/9
337	34	6/9
338	34	7/9
339	34	8/9
340	35	0/9
341	35	1/9
342	35	2/9
343	X
344	35	3/9
345	35	4/9
346	35	5/9
347	35	6/9
348	35	7/9
349	35	8/9
350	36	0/8
351	X
352	36	1/8
353	36	2/8
354	36	3/8
355	36	4/8
356	36	5/8
357	36	6/8
358	36	7/8
359	X
360	37	0/9
361	37	1/9
362	37	2/9
363	37	3/9
364	37	4/9
365	37	5/9
366	37	6/9
367	X
368	37	7/9
369	37	8/9
370	38	0/9
371	38	1/9
372	38	2/9
373	38	3/9
374	38	4/9
375	X
376	38	5/9
377	38	6/9
378	38	7/9
379	38	8/9
380	39	0/9
381	39	1/9
382	39	2/9
383	X
384	39	3/9
385	39	4/9
386	39	5/9
387	39	6/9
388	39	7/9
389	39	8/9
390	40	0/8
391	X
392	40	1/8
393	40	2/8
394	40	3/8
395	40	4/8
396	40	5/8
397	40	6/8
398	40	7/8
399	X
400	41	0/9
401	41	1/9
402	41	2/9
403	41	3/9
404	41	4/9
405	41	5/9
406	41	6/9
407	X
408	41	7/9
409	41	8/9
410	42	0/9
411	42	1/9
412	42	2/9
413	42	3/9
414	42	4/9
415	X
416	42	5/9
417	42	6/9
418	42	7/9
419	42	8/9
420	43	0/9
421	43	1/9
422	43	2/9
423	X
424	43	3/9
425	43	4/9
426	43	5/9
427	43	6/9
428	43	7/9
429	43	8/9
430	44	0/8
431	X
432	44	1/8
433	44	2/8
434	44	3/8
435	44	4/8
436	44	5/8
437	44	6/8
438	44	7/8
439	X
440	45	0/9
441	45	1/9
442	45	2/9
443	45	3/9
444	45	4/9
445	45	5/9
446	45	6/9
447	X
448	45	7/9
449	45	8/9
450	46	0/9
451	46	1/9
452	46	2/9
453	46	3/9
454	46	4/9
455	X
456	46	5/9
457	46	6/9
458	46	7/9
459	46	8/9
460	47	0/9
461	47	1/9
462	47	2/9
463	X
464	47	3/9
465	47	4/9
466	47	5/9
467	47	6/9
468	47	7/9
469	47	8/9
470	48	0/8
471	X
472	48	1/8
473	48	2/8
474	48	3/8
475	48	4/8
476	48	5/8
477	48	6/8
478	48	7/8
479	X
480	49	0/9
481	49	1/9
482	49	2/9
483	49	3/9
484	49	4/9
485	49	5/9
486	49	6/9
487	X
488	49	7/9
489	49	8/9
490	50	0/9
491	50	1/9
492	50	2/9
493	50	3/9
494	50	4/9
495	X
496	50	5/9
497	50	6/9
498	50	7/9
499	50	8/9
500	51	0/9
501	51	1/9
