1001/100	7+8
1589	159	7/9
1590	159	8/9
1591	X
1592	160	0/8
1593	160	1/8
1594	160	2/8
1595	160	3/8
1596	160	4/8
1597	160	5/8
1598	160	6/8
1599	X
1600	160	7/8
1601	161	0/9
1602	161	1/9
1603	161	2/9
1604	161	3/9
1605	161	4/9
1606	161	5/9
1607	X
1608	161	6/9
1609	161	7/9
1610	161	8/9
1611	162	0/9
1612	162	1/9
1613	162	2/9
1614	162	3/9
1615	X
1616	162	4/9
1617	162	5/9
1618	162	6/9
1619	162	7/9
1620	162	8/9
1621	163	0/9
1622	163	1/9
1623	X
1624	163	2/9
1625	163	3/9
1626	163	4/9
1627	163	5/9
1628	163	6/9
1629	163	7/9
1630	163	8/9
1631	X
1632	164	0/8
1633	164	1/8
1634	164	2/8
1635	164	3/8
1636	164	4/8
1637	164	5/8
1638	164	6/8
1639	X
1640	164	7/8
1641	165	0/9
1642	165	1/9
1643	165	2/9
1644	165	3/9
1645	165	4/9
1646	165	5/9
1647	X
1648	165	6/9
1649	165	7/9
1650	165	8/9
1651	166	0/9
1652	166	1/9
1653	166	2/9
1654	166	3/9
1655	X
1656	166	4/9
1657	166	5/9
1658	166	6/9
1659	166	7/9
1660	166	8/9
1661	167	0/9
1662	167	1/9
1663	X
1664	167	2/9
1665	167	3/9
1666	167	4/9
1667	167	5/9
1668	167	6/9
1669	167	7/9
1670	167	8/9
1671	X
1672	168	0/8
1673	168	1/8
1674	168	2/8
1675	168	3/8
1676	168	4/8
1677	168	5/8
1678	168	6/8
1679	X
1680	168	7/8
1681	169	0/9
1682	169	1/9
1683	169	2/9
1684	169	3/9
1685	169	4/9
1686	169	5/9
1687	X
1688	169	6/9
1689	169	7/9
1690	169	8/9
1691	170	0/9
1692	170	1/9
1693	170	2/9
1694	170	3/9
1695	X
1696	170	4/9
1697	170	5/9
1698	170	6/9
1699	170	7/9
1700	170	8/9
1701	171	0/9
1702	171	1/9
1703	X
1704	171	2/9
1705	171	3/9
1706	171	4/9
1707	171	5/9
1708	171	6/9
1709	171	7/9
1710	171	8/9
1711	X
1712	172	0/8
1713	172	1/8
1714	172	2/8
1715	172	3/8
1716	172	4/8
1717	172	5/8
1718	172	6/8
1719	X
1720	172	7/8
1721	173	0/9
1722	173	1/9
1723	173	2/9
1724	173	3/9
1725	173	4/9
1726	173	5/9
1727	X
1728	173	6/9
1729	173	7/9
1730	173	8/9
1731	174	0/9
1732	174	1/9
1733	174	2/9
1734	174	3/9
1735	X
1736	174	4/9
1737	174	5/9
1738	174	6/9
1739	174	7/9
1740	174	8/9
1741	175	0/9
1742	175	1/9
1743	X
1744	175	2/9
1745	175	3/9
1746	175	4/9
1747	175	5/9
1748	175	6/9
1749	175	7/9
1750	175	8/9
1751	X
1752	176	0/8
1753	176	1/8
1754	176	2/8
1755	176	3/8
1756	176	4/8
1757	176	5/8
1758	176	6/8
1759	X
