3003/400	7+8	(Soul	Blade)
370	50	2/7
371	50	3/7
372	50	4/7
373	50	5/7
374	50	6/7
375	X
376	51	0/6
377	51	1/6
378	51	2/6
379	51	3/6
380	51	4/6
381	51	5/6
382	52	0/7
383	X
384	52	1/7
385	52	2/7
386	52	3/7
387	52	4/7
388	52	5/7
389	52	6/7
390	53	0/6
391	X
392	53	1/6
393	53	2/6
394	53	3/6
395	53	4/6
396	53	5/6
397	54	0/7
398	54	1/7
399	X
400	54	2/7
401	54	3/7
402	54	4/7
403	54	5/7
404	54	6/7
405	55	0/6
406	55	1/6
407	X
408	55	2/6
409	55	3/6
410	55	4/6
411	55	5/6
412	56	0/7
413	56	1/7
414	56	2/7
415	X
416	56	3/7
417	56	4/7
418	56	5/7
419	56	6/7
420	57	0/6
421	57	1/6
422	57	2/6
423	X
424	57	3/6
425	57	4/6
426	57	5/6
427	58	0/7
428	58	1/7
429	58	2/7
430	58	3/7
431	X
432	58	4/7
433	58	5/7
434	58	6/7
435	59	0/6
436	59	1/6
437	59	2/6
438	59	3/6
439	X
440	59	4/6
441	59	5/6
442	60	0/7
443	60	1/7
444	60	2/7
445	60	3/7
446	60	4/7
447	X
448	60	5/7
449	60	6/7
450	61	0/6
451	61	1/6
452	61	2/6
453	61	3/6
454	61	4/6
455	X
456	61	5/6
457	62	0/7
458	62	1/7
459	62	2/7
460	62	3/7
461	62	4/7
462	62	5/7
463	X
464	62	6/7
465	63	0/6
466	63	1/6
467	63	2/6
468	63	3/6
469	63	4/6
470	63	5/6
471	X
472	64	0/7
473	64	1/7
474	64	2/7
475	64	3/7
476	64	4/7
477	64	5/7
478	64	6/7
479	X
480	65	0/7
481	65	1/7
482	65	2/7
483	65	3/7
484	65	4/7
485	65	5/7
486	65	6/7
487	X
488	66	0/7
489	66	1/7
490	66	2/7
491	66	3/7
492	66	4/7
493	66	5/7
494	66	6/7
495	X
496	67	0/6
497	67	1/6
498	67	2/6
499	67	3/6
500	67	4/6
501	67	5/6
502	68	0/7
503	X
504	68	1/7
505	68	2/7
506	68	3/7
507	68	4/7
508	68	5/7
509	68	6/7
510	69	0/6
511	X
512	69	1/6
513	69	2/6
514	69	3/6
515	69	4/6
516	69	5/6
517	70	0/7
518	70	1/7
519	X
520	70	2/7
521	70	3/7
522	70	4/7
523	70	5/7
524	70	6/7
525	71	0/6
526	71	1/6
527	X
528	71	2/6
529	71	3/6
530	71	4/6
531	71	5/6
532	72	0/7
533	72	1/7
534	72	2/7
535	X
536	72	3/7
537	72	4/7
538	72	5/7
539	72	6/7
540	73	0/6
541	73	1/6
542	73	2/6
543	X
544	73	3/6
545	73	4/6
546	73	5/6
547	74	0/7
548	74	1/7
549	74	2/7
550	74	3/7
551	X
552	74	4/7
553	74	5/7
554	74	6/7
555	75	0/6
556	75	1/6
557	75	2/6
558	75	3/6
559	X
560	75	4/6
561	75	5/6
562	76	0/7
563	76	1/7
564	76	2/7
565	76	3/7
566	76	4/7
567	X
568	76	5/7
569	76	6/7
570	77	0/6
571	77	1/6
572	77	2/6
573	77	3/6
574	77	4/6
575	X
576	77	5/6
577	78	0/7
578	78	1/7
579	78	2/7
580	78	3/7
581	78	4/7
582	78	5/7
583	X
584	78	6/7
585	79	0/6
586	79	1/6
587	79	2/6
588	79	3/6
589	79	4/6
590	79	5/6
591	X
592	80	0/7
593	80	1/7
594	80	2/7
595	80	3/7
596	80	4/7
597	80	5/7
598	80	6/7
599	X
600	81	0/7
601	81	1/7
602	81	2/7
603	81	3/7
604	81	4/7
605	81	5/7
606	81	6/7
607	X
608	82	0/7
609	82	1/7
610	82	2/7
611	82	3/7
612	82	4/7
613	82	5/7
614	82	6/7
615	X
616	83	0/6
617	83	1/6
618	83	2/6
619	83	3/6
620	83	4/6
621	83	5/6
622	84	0/7
623	X
624	84	1/7
625	84	2/7
626	84	3/7
627	84	4/7
628	84	5/7
629	84	6/7
630	85	0/6
631	X
632	85	1/6
633	85	2/6
634	85	3/6
635	85	4/6
636	85	5/6
637	86	0/7
638	86	1/7
639	X
640	86	2/7
641	86	3/7
642	86	4/7
643	86	5/7
644	86	6/7
645	87	0/6
646	87	1/6
647	X
648	87	2/6
649	87	3/6
650	87	4/6
651	87	5/6
652	88	0/7
653	88	1/7
654	88	2/7
655	X
656	88	3/7
657	88	4/7
658	88	5/7
659	88	6/7
660	89	0/6
661	89	1/6
662	89	2/6
663	X
664	89	3/6
665	89	4/6
666	89	5/6
667	90	0/7
668	90	1/7
669	90	2/7
670	90	3/7
671	X
672	90	4/7
673	90	5/7
674	90	6/7
675	91	0/6
676	91	1/6
677	91	2/6
678	91	3/6
679	X
680	91	4/6
681	91	5/6
682	92	0/7
683	92	1/7
684	92	2/7
685	92	3/7
686	92	4/7
687	X
688	92	5/7
689	92	6/7
690	93	0/6
691	93	1/6
692	93	2/6
693	93	3/6
694	93	4/6
695	X
696	93	5/6
697	94	0/7
698	94	1/7
699	94	2/7
700	94	3/7
701	94	4/7
702	94	5/7
703	X
704	94	6/7
705	95	0/6
706	95	1/6
707	95	2/6
708	95	3/6
709	95	4/6
710	95	5/6
711	X
712	96	0/7
713	96	1/7
